CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
201012,31.0,0,3,6.0,2,1,2,5.0,0,3.0,2,2.0,0,3,1,1.0,1,16359.0,1
203069,46.0,1,3,16.0,3,2,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0,0
204873,41.0,1,3,14.0,3,2,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0,1
202443,35.0,1,1,13.0,2,2,3,3.0,0,4.0,2,2.0,1,3,1,1.0,1,20363.0,1
202016,29.0,1,3,16.0,2,2,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0,0
201561,51.0,1,3,27.0,3,2,3,3.0,1,3.0,2,1.0,1,5,0,2.0,2,20441.0,0
200304,39.0,1,1,6.0,3,2,2,2.0,3,3.0,1,1.0,0,3,1,0.0,3,24613.0,0
200628,37.0,1,3,22.0,3,2,3,4.0,1,3.0,1,5.0,0,5,1,2.0,2,21334.0,0
200710,33.0,0,3,23.0,2,2,2,3.0,4,3.0,2,2.0,0,3,1,1.0,0,32444.0,0
204045,51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0,0
203738,42.0,1,1,12.0,2,2,3,2.0,1,4.0,3,5.0,0,5,1,1.0,2,25548.0,0
202763,33.0,1,3,15.0,1,1,4,5.0,1,4.0,0,3.0,1,2,1,1.0,2,23906.0,0
203267,30.0,0,1,17.0,2,1,4,4.0,0,4.0,1,2.0,0,5,1,1.0,1,21969.0,0
202779,41.0,1,3,7.0,3,2,3,6.0,1,3.0,0,4.0,1,3,1,1.0,2,26135.0,0
203466,38.0,0,1,12.0,1,2,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,0
203418,28.0,0,3,9.0,2,2,3,6.0,1,3.0,3,5.0,0,4,1,2.0,2,23749.0,0
203668,27.0,1,1,24.0,3,2,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0,0
201788,27.0,1,1,11.0,2,1,2,3.0,0,4.0,2,2.0,1,3,0,1.0,1,17478.0,0
204430,24.0,1,1,11.0,3,2,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0,0
202076,34.0,0,1,22.0,2,1,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0,0
204856,37.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0,1
202317,34.0,0,1,7.0,3,2,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0,0
200216,30.0,0,3,32.0,3,1,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0,1
201640,27.0,1,1,23.0,1,2,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0,0
203290,36.0,1,1,9.0,2,2,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,0
201713,40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,0
202908,38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0,0
203770,33.0,1,3,9.0,3,2,3,5.0,1,4.0,2,2.0,1,1,1,1.0,2,28585.0,1
204251,30.0,1,1,16.0,2,2,2,5.0,0,3.0,3,2.0,0,1,1,1.0,1,22661.0,0
202169,52.0,1,1,6.0,2,2,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0,0
203681,33.0,1,3,7.0,2,2,3,6.0,1,4.0,3,8.0,0,3,0,2.0,2,25413.0,1
204806,20.0,0,1,17.0,3,1,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20537.0,1
200008,38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0,0
202114,31.0,1,1,17.0,2,2,2,3.0,0,3.0,1,4.0,1,3,0,0.0,1,17356.0,0
203223,52.0,1,1,11.0,2,2,3,4.0,0,3.0,0,2.0,1,2,1,2.0,1,21139.0,1
204056,39.0,1,1,10.0,1,1,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0,0
204051,40.0,1,3,11.0,2,1,3,5.0,1,3.0,1,6.0,0,5,1,2.0,2,24580.0,0
203409,26.0,1,1,26.0,3,2,4,4.0,0,3.0,0,5.0,0,5,1,3.0,1,22347.0,0
201223,47.0,0,3,15.0,2,2,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,27936.0,1
202234,28.0,1,3,16.0,3,2,3,3.0,0,4.0,1,2.0,0,5,0,2.0,1,16052.0,0
203272,19.0,0,1,15.0,3,2,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0,1
202031,52.0,1,3,9.0,3,2,2,4.0,4,5.0,1,2.0,0,5,1,0.0,0,31856.0,0
202615,20.0,0,3,7.0,1,1,4,6.0,0,5.0,2,2.0,0,3,1,2.0,1,21003.0,1
202471,43.0,1,3,15.0,3,2,3,4.0,1,4.0,0,2.0,0,3,0,2.0,2,25503.0,0
204807,30.0,1,1,8.0,2,1,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,22438.0,0
203896,51.0,0,3,7.0,2,2,4,4.0,1,3.0,1,2.0,0,3,1,2.0,2,25406.0,1
204122,41.0,0,1,16.0,2,2,4,5.0,1,3.0,1,2.0,0,5,0,2.0,2,23554.0,0
202598,33.0,0,3,15.0,3,0,3,4.0,3,3.0,3,3.0,0,4,1,2.0,3,27676.0,0
202806,22.0,0,3,16.0,3,2,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21288.0,0
201831,40.0,1,1,16.0,2,1,2,1.0,0,3.0,1,4.0,1,3,0,1.0,1,17213.0,0
201972,53.0,1,3,6.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0,0
203512,29.0,0,1,9.0,3,2,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0,1
204405,44.0,0,1,16.0,3,2,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0,0
202942,23.0,1,1,13.0,3,2,4,4.0,0,3.0,0,2.0,0,2,1,1.0,1,21451.0,0
203268,43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,0
202180,33.0,0,3,23.0,2,2,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,0
204272,37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,1,1,2.0,2,25331.0,0
201432,37.0,1,1,16.0,2,1,2,1.0,3,3.0,1,2.0,1,1,0,1.0,3,28744.0,0
204241,40.0,1,3,10.0,3,1,3,4.0,1,3.0,1,6.0,1,4,1,2.0,2,23916.0,1
204510,36.0,1,1,7.0,2,1,3,2.0,0,3.0,2,5.0,0,3,1,2.0,1,21184.0,0
203636,50.0,1,1,23.0,3,1,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0,0
201827,21.0,0,3,6.0,1,1,3,4.0,0,4.0,2,2.0,1,5,1,2.0,1,17174.0,1
204816,28.0,1,3,9.0,3,1,4,6.0,2,4.0,2,4.0,1,5,1,2.0,4,21195.0,1
202657,52.0,1,1,15.0,2,2,3,5.0,3,4.0,0,7.0,0,3,1,2.0,3,31168.0,0
202416,40.0,1,1,14.0,3,2,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,1
202322,29.0,1,1,12.0,3,1,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,18131.0,0
200053,35.0,0,1,17.0,3,2,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,0
204187,38.0,1,3,13.0,3,2,4,4.0,1,3.0,1,6.0,0,3,1,1.0,2,25180.0,0
200110,51.0,0,1,6.0,3,1,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,0
204276,22.0,0,3,16.0,3,2,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,21288.0,0
202069,36.0,1,2,19.0,2,2,2,3.0,0,4.0,1,5.0,0,3,1,1.0,1,17143.0,0
202365,31.0,1,1,17.0,3,2,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0,0
203837,28.0,1,3,16.0,3,2,3,4.0,1,3.0,3,3.0,0,1,0,2.0,2,22783.0,0
204230,50.0,1,1,7.0,1,1,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0,0
204747,28.0,1,1,13.0,2,2,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,0
201229,40.0,1,1,14.0,2,1,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0,0
200252,29.0,1,1,21.0,2,2,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17340.0,0
203728,40.0,1,1,17.0,3,2,4,4.0,3,3.0,2,2.0,0,3,1,1.0,3,32142.0,0
203365,29.0,0,1,7.0,3,2,3,4.0,0,3.0,2,2.0,1,4,0,1.0,1,20832.0,0
204800,31.0,1,1,8.0,3,2,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0,0
200148,41.0,1,1,15.0,2,2,3,3.0,0,5.0,0,3.0,0,2,0,2.0,1,17238.0,0
200980,31.0,0,3,8.0,2,1,2,4.0,0,3.0,2,1.0,0,5,0,1.0,1,17785.0,1
202931,21.0,1,1,7.0,2,1,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0,0
203800,42.0,1,3,15.0,3,1,3,4.0,1,4.0,1,7.0,0,3,1,2.0,2,23071.0,0
204573,29.0,1,3,12.0,3,2,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0,0
203712,54.0,0,1,7.0,3,1,3,5.0,4,3.0,1,6.0,1,1,0,1.0,0,31643.0,0
200105,59.0,0,2,8.0,2,1,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,0
200258,51.0,1,1,6.0,2,2,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0,0
202883,32.0,0,1,27.0,2,2,4,4.0,3,3.0,0,5.0,0,3,1,1.0,3,28502.0,1
204622,37.0,0,3,15.0,1,2,3,4.0,1,3.0,1,6.0,0,3,1,2.0,2,23757.0,0
200401,56.0,0,3,12.0,2,1,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0,0
201881,60.0,1,1,13.0,2,1,2,3.0,2,5.0,1,6.0,0,5,1,0.0,4,34566.0,0
202673,30.0,1,1,25.0,3,2,3,5.0,0,3.0,2,3.0,1,3,0,2.0,1,21067.0,1
203904,30.0,1,1,35.0,3,1,4,5.0,0,5.0,3,3.0,0,1,0,2.0,1,22463.0,0
203993,47.0,1,2,12.0,3,2,4,4.0,1,4.0,1,2.0,1,5,1,3.0,2,23699.0,0
204356,37.0,0,3,17.0,3,2,3,4.0,3,3.0,2,3.0,0,1,1,2.0,3,28658.0,0
204076,29.0,1,1,28.0,3,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21391.0,0
203995,36.0,1,1,7.0,3,2,2,5.0,0,3.0,3,3.0,0,4,1,1.0,1,21537.0,0
201127,23.0,1,1,16.0,1,2,2,1.0,0,3.0,1,3.0,0,1,1,0.0,1,17073.0,0
202519,32.0,1,1,15.0,2,1,4,4.0,1,3.0,3,3.0,0,5,0,2.0,2,23102.0,0
204496,41.0,0,1,9.0,3,1,3,2.0,1,4.0,1,3.0,0,3,0,1.0,2,22922.0,0
203117,34.0,1,1,7.0,2,2,4,5.0,0,5.0,3,5.0,1,4,0,1.0,1,21477.0,0
204507,37.0,1,1,7.0,2,1,3,4.0,1,4.0,1,2.0,0,5,1,2.0,2,23906.0,0
200064,36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0,0
200990,33.0,0,3,11.0,2,2,3,3.0,1,3.0,0,7.0,0,1,1,2.0,2,24998.0,0
204212,37.0,0,1,25.0,2,2,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0,0
203172,55.0,1,1,24.0,1,1,3,4.0,3,3.0,0,2.0,0,5,1,1.0,3,29417.0,0
203926,32.0,1,1,33.0,2,2,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,21589.0,0
200067,45.0,1,1,13.0,2,2,2,3.0,3,5.0,1,3.0,0,3,1,1.0,3,24724.0,0
203591,50.0,1,1,32.0,2,1,3,4.0,0,5.0,1,3.0,0,3,0,1.0,1,21889.0,0
203132,20.0,1,3,28.0,2,2,3,5.0,0,4.0,2,3.0,1,2,0,2.0,1,20799.0,1
201519,35.0,1,1,14.0,2,2,2,1.0,0,3.0,1,2.0,0,5,1,1.0,1,17269.0,0
201621,35.0,1,3,6.0,3,2,3,3.0,3,4.0,1,2.0,0,4,0,0.0,3,22295.0,0
202045,54.0,1,1,25.0,3,1,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0,0
201210,33.0,1,1,27.0,3,2,3,1.0,0,4.0,1,2.0,0,1,1,1.0,1,17028.0,0
203982,36.0,0,1,7.0,3,2,4,4.0,0,5.0,1,6.0,0,1,0,2.0,1,20872.0,0
202562,37.0,1,1,10.0,2,1,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0,0
203882,24.0,0,3,16.0,3,2,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0,1
202154,40.0,1,3,16.0,3,2,3,4.0,3,4.0,1,3.0,0,4,0,0.0,3,24705.0,0
201251,30.0,1,3,21.0,3,2,3,4.0,3,5.0,1,3.0,0,1,0,2.0,3,22140.0,0
203601,36.0,0,1,15.0,2,1,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22826.0,0
204341,61.0,0,3,35.0,3,1,4,5.0,3,5.0,1,6.0,0,1,1,1.0,3,28944.0,0
203780,56.0,1,1,9.0,1,2,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,21340.0,0
204207,27.0,1,3,11.0,3,2,3,5.0,1,3.0,3,3.0,1,1,1,1.0,2,24506.0,1
204375,36.0,1,3,7.0,3,0,4,4.0,1,3.0,3,3.0,0,4,1,1.0,2,23537.0,0
200620,35.0,1,1,33.0,3,1,2,4.0,0,5.0,2,2.0,0,4,1,1.0,1,17559.0,0
203089,30.0,1,3,7.0,3,1,3,5.0,0,3.0,1,8.0,1,2,0,2.0,1,21478.0,1
203885,57.0,0,1,7.0,2,2,3,4.0,1,3.0,1,3.0,0,3,0,1.0,2,24984.0,0
204444,28.0,1,1,7.0,2,1,4,4.0,3,5.0,1,3.0,0,4,0,3.0,3,26090.0,0
201693,38.0,1,3,9.0,2,2,3,3.0,3,3.0,1,1.0,0,1,1,1.0,3,25609.0,0
202880,34.0,1,1,17.0,3,2,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0,1
203920,60.0,1,1,10.0,3,1,3,2.0,0,5.0,1,6.0,1,1,0,2.0,1,21348.0,0
202314,30.0,1,3,16.0,3,2,3,4.0,1,3.0,1,2.0,0,1,0,1.0,2,21578.0,0
203044,33.0,1,1,11.0,2,1,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0,0
202922,26.0,1,3,20.0,3,2,3,4.0,0,3.0,0,3.0,0,3,1,1.0,1,20774.0,0
203607,38.0,1,1,17.0,3,1,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,22614.0,0
202439,48.0,1,3,8.0,3,2,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0,1
203641,21.0,1,3,16.0,2,2,3,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21406.0,0
203918,28.0,1,1,9.0,3,2,3,4.0,0,4.0,1,2.0,0,5,1,2.0,1,22146.0,0
203517,29.0,1,1,36.0,2,2,4,6.0,1,4.0,0,3.0,0,1,1,3.0,2,25227.0,0
204881,41.0,1,2,25.0,2,2,3,2.0,0,5.0,1,2.0,0,1,1,2.0,1,21065.0,1
204837,35.0,1,3,16.0,3,2,3,4.0,3,3.0,1,6.0,0,3,1,2.0,3,23168.0,1
203798,57.0,1,1,31.0,2,2,4,4.0,0,3.0,2,3.0,0,3,0,1.0,1,21265.0,1
201134,35.0,1,1,13.0,2,2,3,4.0,0,3.0,1,2.0,0,3,1,0.0,1,17690.0,0
200214,30.0,1,1,9.0,1,1,2,3.0,0,5.0,2,6.0,1,4,1,1.0,1,17657.0,1
203844,39.0,0,2,7.0,2,2,3,4.0,0,4.0,1,2.0,1,1,1,2.0,1,21669.0,0
200041,27.0,1,1,8.0,2,1,2,3.0,0,5.0,1,2.0,0,3,0,1.0,1,17341.0,0
200549,34.0,1,1,14.0,3,1,3,3.0,1,3.0,2,4.0,0,4,1,1.0,2,21142.0,0
204173,32.0,0,1,36.0,3,2,4,5.0,0,4.0,3,2.0,0,3,0,3.0,1,22157.0,1
200529,38.0,1,1,6.0,2,1,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0,0
201585,37.0,1,3,9.0,2,2,2,3.0,3,3.0,3,3.0,0,3,0,1.0,3,22428.0,0
204791,47.0,1,1,9.0,1,2,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,26057.0,0
200126,58.0,1,1,29.0,3,1,3,3.0,3,3.0,0,2.0,0,3,1,0.0,3,25312.0,1
200193,43.0,0,1,13.0,3,2,2,2.0,0,3.0,1,5.0,0,4,0,1.0,1,17089.0,0
203095,48.0,1,3,9.0,3,1,3,4.0,1,3.0,0,2.0,1,2,1,1.0,2,23215.0,0
203509,56.0,1,1,11.0,2,2,2,4.0,1,3.0,0,2.0,1,4,0,1.0,2,22713.0,0
200243,40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,0
201723,42.0,1,1,23.0,2,1,2,1.0,1,5.0,3,4.0,1,1,1,1.0,2,21545.0,0
201094,40.0,1,3,15.0,3,2,2,3.0,1,5.0,1,1.0,0,3,1,1.0,2,20473.0,0
204740,39.0,1,2,7.0,2,2,3,2.0,0,3.0,1,3.0,0,4,1,1.0,1,21522.0,0
202278,29.0,1,1,34.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0,0
204860,41.0,1,1,15.0,3,2,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0,1
200367,50.0,1,1,16.0,1,2,3,4.0,3,3.0,3,7.0,0,5,0,2.0,3,25496.0,0
204052,26.0,1,3,35.0,2,2,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,0
201692,37.0,0,1,17.0,2,2,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,27185.0,0
203136,33.0,1,1,10.0,3,1,4,4.0,1,5.0,0,3.0,0,2,1,2.0,2,25403.0,0
202172,30.0,1,3,14.0,2,2,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0,0
203593,28.0,1,1,26.0,2,2,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0,0
202421,41.0,0,3,15.0,2,2,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,21151.0,1
200966,58.0,1,1,13.0,3,1,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0,1
204545,45.0,1,1,15.0,2,2,4,2.0,0,3.0,1,4.0,1,3,1,1.0,1,21496.0,0
200657,29.0,1,1,13.0,3,1,3,4.0,0,3.0,1,7.0,0,5,1,0.0,1,17532.0,0
203011,35.0,1,3,9.0,2,2,3,4.0,1,3.0,3,3.0,0,5,0,1.0,2,24952.0,0
203168,25.0,1,1,24.0,3,1,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0,0
204126,28.0,0,3,27.0,2,1,3,4.0,1,3.0,2,3.0,0,1,1,2.0,2,28659.0,0
202003,40.0,0,3,11.0,2,2,2,4.0,3,5.0,1,6.0,1,5,0,0.0,3,25475.0,0
201851,30.0,1,3,8.0,1,2,3,3.0,0,4.0,1,2.0,0,3,1,0.0,1,17476.0,0
202173,38.0,0,3,16.0,1,1,2,3.0,1,3.0,2,2.0,1,3,1,0.0,2,20666.0,0
204250,30.0,1,1,15.0,2,2,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0,1
202493,36.0,1,1,15.0,2,2,3,3.0,0,3.0,0,3.0,0,5,1,2.0,1,20947.0,0
201701,42.0,1,1,10.0,1,2,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0,0
202502,32.0,1,1,14.0,2,2,3,4.0,1,3.0,1,5.0,0,3,1,1.0,2,24593.0,0
201710,39.0,1,1,6.0,3,1,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0,0
202500,36.0,0,3,25.0,2,2,4,4.0,3,5.0,0,3.0,0,4,1,1.0,3,27747.0,0
203058,27.0,0,1,12.0,3,1,3,5.0,0,3.0,0,3.0,1,2,0,2.0,1,21044.0,1
202358,35.0,0,3,14.0,3,1,3,4.0,3,3.0,1,5.0,1,5,1,2.0,3,25377.0,0
203394,32.0,0,3,9.0,2,1,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0,0
202625,35.0,1,1,34.0,3,1,4,4.0,0,4.0,2,4.0,0,3,1,1.0,1,20989.0,0
204535,37.0,1,3,7.0,2,2,3,4.0,1,3.0,1,3.0,1,3,1,2.0,2,24879.0,0
204140,38.0,0,3,11.0,3,2,3,4.0,0,3.0,1,6.0,0,4,1,1.0,1,21471.0,0
202364,54.0,1,1,9.0,2,2,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32779.0,0
202903,42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,2,0,1.0,2,25489.0,0
203705,39.0,1,1,25.0,3,2,3,6.0,1,3.0,1,5.0,1,5,0,2.0,2,24489.0,0
203827,37.0,0,1,16.0,2,2,4,2.0,0,4.0,1,3.0,0,5,1,1.0,1,21488.0,0
200933,28.0,1,1,6.0,1,2,2,3.0,0,5.0,2,3.0,0,4,0,0.0,1,17080.0,0
200414,24.0,1,3,6.0,1,1,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0,1
201671,49.0,0,1,24.0,2,2,3,3.0,1,3.0,1,2.0,1,1,0,0.0,2,21804.0,0
204767,20.0,1,1,16.0,2,2,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0,0
204106,36.0,1,1,30.0,2,2,3,5.0,1,3.0,1,5.0,1,4,1,1.0,2,24594.0,1
203886,30.0,1,1,7.0,3,2,3,4.0,0,3.0,1,2.0,1,3,1,1.0,1,23465.0,1
203217,37.0,1,1,19.0,3,0,3,5.0,3,3.0,3,2.0,0,2,1,1.0,3,27536.0,0
200027,42.0,1,3,14.0,3,2,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0,0
202028,32.0,0,1,30.0,2,2,3,3.0,1,3.0,1,2.0,0,4,1,2.0,2,20309.0,0
200142,38.0,1,1,9.0,1,1,2,3.0,1,3.0,2,4.0,1,5,0,0.0,2,1000.0,0
204222,59.0,0,1,7.0,2,2,3,6.0,1,3.0,1,4.0,1,1,1,2.0,2,24338.0,0
202565,34.0,0,3,29.0,3,2,4,4.0,1,4.0,0,2.0,0,2,0,2.0,2,24824.0,0
201119,38.0,1,3,20.0,2,2,3,3.0,1,4.0,1,1.0,0,5,1,2.0,2,24924.0,0
204144,53.0,1,1,9.0,2,1,3,5.0,0,3.0,3,2.0,0,3,1,1.0,1,21890.0,0
200445,55.0,1,3,24.0,2,1,2,3.0,4,4.0,2,4.0,0,2,0,1.0,0,31835.0,0
204195,43.0,1,3,7.0,2,2,2,4.0,1,3.0,1,3.0,0,3,1,1.0,2,23585.0,0
204438,35.0,1,1,16.0,3,0,3,5.0,3,4.0,3,3.0,0,1,1,1.0,3,27299.0,0
202718,22.0,1,1,10.0,3,2,4,5.0,0,3.0,3,3.0,0,5,1,2.0,1,21908.0,0
201461,50.0,1,3,34.0,3,2,2,4.0,3,5.0,1,5.0,1,5,0,0.0,3,25854.0,1
204113,39.0,1,1,36.0,1,2,3,4.0,1,3.0,1,5.0,0,1,0,1.0,2,24939.0,0
200603,45.0,1,1,8.0,2,1,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,17274.0,0
203692,28.0,1,1,15.0,3,1,4,4.0,0,3.0,3,3.0,0,4,1,3.0,1,22123.0,0
204255,39.0,1,1,22.0,2,2,4,5.0,3,3.0,1,2.0,1,5,1,3.0,3,30188.0,0
201241,32.0,1,3,25.0,2,2,3,5.0,3,3.0,1,4.0,0,3,1,2.0,3,24610.0,0
200840,35.0,1,1,6.0,3,2,2,4.0,0,3.0,0,7.0,0,2,1,1.0,1,17258.0,0
204760,36.0,1,1,9.0,2,2,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,0
202298,18.0,0,1,14.0,3,2,3,3.0,0,3.0,2,2.0,0,5,1,0.0,1,16904.0,1
202032,33.0,1,1,6.0,2,2,3,3.0,0,3.0,2,2.0,1,3,1,0.0,1,17686.0,1
201165,44.0,0,2,6.0,2,2,2,3.0,1,3.0,1,5.0,1,5,1,1.0,2,20743.0,0
203992,38.0,1,1,14.0,3,2,2,4.0,3,3.0,2,6.0,0,1,0,1.0,3,32342.0,0
